z,mu,sigma_mu
0.06481,37.22655,0.1109
0.10298,38.510450000000006,0.103
0.04437,36.274150000000006,0.11995
0.16576,39.2845,0.12155
0.16799,39.4023,0.1219
0.17043,39.47375,0.14255
0.12029,38.870050000000006,0.11295
0.13855,39.11995,0.1308
0.23353,40.27065,0.1527
0.24615,40.3723,0.14645
0.22259,40.430400000000006,0.1546
0.17893,39.6309,0.1225
0.19694,39.9318,0.1167
0.22889,40.34445,0.14355
0.26419,40.80355,0.1665
0.1034,38.45195,0.1007
0.21313,40.08185,0.12325
0.1568,39.294,0.1104
0.24317,40.59885,0.15475
0.23823,40.5981,0.14335
0.20827,40.051950000000005,0.1319
0.25085,40.7564,0.1659
0.2251,40.211,0.12955
0.28707,40.804050000000004,0.14295
0.32944,41.00335,0.14295
0.24575,40.478,0.1225
0.11981,39.001850000000005,0.142
0.32891,41.56015,0.20955
0.21037,39.926550000000006,0.1203
0.20284,40.084900000000005,0.1164
0.28403,40.6482,0.13635
0.18046,39.48755,0.10565
0.26043,40.66275,0.1521
0.14774,39.1903,0.1023
0.32753,41.155150000000006,0.13855
0.24177,40.6952,0.1569
0.22308,40.28075,0.1281
0.18261,39.93185,0.1376
0.15286,39.3524,0.10245
0.13806,39.053250000000006,0.10245
0.2071,40.38995,0.18575
0.20291,39.99165,0.1209
0.19777,39.84105,0.129
0.2223,40.2856,0.1392
0.27307,40.65625,0.14505
0.18628,39.875150000000005,0.11385
0.15933,39.18815,0.1054
0.21911,40.2354,0.1261
0.17354,39.8312,0.1283
0.2441,40.310249999999996,0.1449
0.13366,38.94395,0.101
0.28313,40.7941,0.13595
0.17365,39.678399999999996,0.1373
0.1963,40.057950000000005,0.1369
0.36924,41.61255,0.14325
0.20562,39.915800000000004,0.12095
0.17371,39.63215,0.12665
0.12672,38.876000000000005,0.1097
0.284,40.824,0.15145
0.19358,39.945800000000006,0.1361
0.10036,38.307050000000004,0.11145
0.37386,41.654700000000005,0.0854
0.11787,38.70185,0.11365
0.1919,39.8815,0.1404
0.23657,40.36435,0.146
0.15881,39.34615,0.1245
0.07877,38.107600000000005,0.11205
0.13847,39.34935,0.13335
0.23359,40.234750000000005,0.1537
0.1567,39.374750000000006,0.15485
0.08833,37.8309,0.11615
0.12995,39.14635,0.12165
0.18223,39.685900000000004,0.12625
0.25654,40.489850000000004,0.14805
0.21651,40.1623,0.13625
0.14519,39.25865,0.1399
0.13653,38.93645,0.1105
0.20493,40.284000000000006,0.1568
0.36939,41.397450000000006,0.1558
0.12924,38.962050000000005,0.10875
0.26658,40.682249999999996,0.14765
0.27805,40.7366,0.13915
0.17461,39.8556,0.1317
0.11376,38.4771,0.10675
0.11229,38.73095,0.1026
0.15333,39.192400000000006,0.10465
0.1965,40.087900000000005,0.13845
0.18914,40.23525,0.12885
0.17708,39.826750000000004,0.1273
0.21731,40.1309,0.13945
0.18542,39.68785,0.1283
0.16382,39.3737,0.11915
0.2569,40.69695,0.16715
0.1218,38.93065,0.13445
0.16514,39.444050000000004,0.10665
0.1984,39.990700000000004,0.1317
0.26828,40.74935,0.16265
0.40078,41.515,0.1348
0.14566,39.0231,0.12755
0.05573,36.91165,0.10915
0.22425,40.51495,0.15345
0.28622,40.77305,0.15585
0.18365,39.90265,0.14145
0.1036,38.31075,0.10555
0.33096,41.38,0.19055
0.2184,40.11195,0.1415
0.26327,40.385000000000005,0.1514
0.16267,39.5983,0.1303
0.10689,38.5684,0.10455
0.16503,39.4349,0.11585
0.10757,38.594750000000005,0.10865
0.12913,38.8583,0.1143
0.05948,37.067750000000004,0.12625
0.04093,36.4028,0.11665
0.01705,34.206450000000004,0.1832
0.01531,33.94755,0.1613
0.01472,33.9658,0.14905
0.02673,35.32105,0.16165
0.01732,34.2218,0.1587
0.04437,36.07085,0.19805
0.01567,33.7807,0.15405
0.02477,35.0093,0.1718
0.038,36.1164,0.13185
0.0299,35.591300000000004,0.123
0.01012,33.257450000000006,0.19825
0.0258,35.5148,0.1376
0.01038,33.3996,0.2048
0.03791,35.935100000000006,0.2001
0.03507,35.80115,0.16785
0.01268,33.7986,0.171
0.02525,35.17815,0.13295
0.01908,34.7034,0.14115
0.03489,35.71835,0.1667
